image_name,count,img_size
taccwma/example-cms:eb5d6ac1,2242,1437230029
taccwma/matcssi_cms:7138a65b,2242,1437241109
taccwma/utrc-cms:c35486d,2239,1472058123
taccwma/neuronex-cms:2f53ba7,2239,1472272899
taccwma/neuronex-cms:00ccdc8,2226,1472273657
tacck/mywhale:latest,2191,256818816
taccaya/docker-whale:latest,2191,277497387
gzynda/tacc-ubuntu18-impi2019:0.0.2,2160,488723548
gzynda/tacc-ubuntu18-impi2019:latest,2160,488723548
gzynda/tacc-ubuntu18-impi2019:stampede2,2160,488723548
tacc/csc_jupyter:dev,2153,8266587280
tacc/pipeline_importer:v2.0.0,2143,679673813
tacc/github-runner-python3:latest,2125,1105706261
arkottke/tacc-svl-intel:latest,2123,2841083929
gzynda/tacc-ubuntu18-mvapich2.3-psm2:0.0.2,2121,496665617
gzynda/tacc-ubuntu18-mvapich2.3-psm2:latest,2121,496665617
tacc/tacc-ml:ubuntu16.04-cuda10-tf2.4-pt1.7,2117,6059027835
tacc/tacc-ubuntu18-mvapich2.3-ib:0.0.2,2116,472437589
tacc/tacc-ubuntu18-mvapich2.3-psm2:0.0.2,2116,496665617
gzynda/tacc-ubuntu18-mvapich2.3-ib:latest,2107,458788108
gzynda/tacc-ubuntu18-mvapich2.3-ib:0.0.2,2107,458788108
tacc/tacc-ubuntu18-mvapich2.3-psm2:0.0.3,2102,496710267
tacc/tacc-ubuntu18-mvapich2.3-ib:0.0.3,2102,472956393
taccsciapps/darpa-shade:220224,2056,8798862036
taccsciapps/darpa-shade:220215,2053,8786931838
taccwma/epoc-cms:f3994b3,2040,1472542930
taccwma/epoc-cms:c19e0d7,2033,1431476982
taccwma/tapis-project-org:c19e0d7,2033,1431476995
taccwma/neuronex-cms:c19e0d7,2032,1431481856
taccwma/brainmap-cms:c19e0d7,2032,1431476992
taccwma/utrc-cms:c19e0d7,2032,1431482284
gzynda/tacc-ubuntu16-mvapich2.3:0.0.2,2020,459631270
gzynda/tacc-ubuntu16-mvapich2.3:maverick2,2020,459631270
gzynda/tacc-ubuntu16-mvapich2.3:wrangler,2020,459631270
gzynda/tacc-ubuntu16-mvapich2.3:hikari,2020,459631270
gzynda/tacc-ubuntu16-mvapich2.3:latest,2020,459631270
tacc/minfs:rootfs,2014,825444498
taccwma/ecep_cms:4fe44ca,1981,1435011338
taccwma/ecep_cms:5484b55,1979,1436854087
taccwma/3dem-cms:bea4943,1979,1436644818
taccwma/ecep_cms:6dfeb6c,1979,1436853521
taccwma/netsage-cms:927a3ce1,1979,1437000745
taccwma/3dem-cms:40bbeb5,1979,1436654812
taccwma/ecep_cms:6bb3f59,1979,1436865586
taccwma/matcssi-cms:650f07b7,1979,1436835849
taccwma/matcssi-cms:90ae8dbd,1979,1436835850
taccwma/matcssi-cms:eb5d6ac1,1979,1436835849
